Career,Citizenship,Nationality,Year_of_Study,Gender,Department,Housing_Type,Events_Volunteered,Events_Participated,Activities_Interested,Activities_Passionate,Stress_Level,Student_Life_Satisfaction,Effort_For_Interaction,Response_ID,Societies_Participation,Clubs_Participation,Academic_Stress,Financial_Stress,Family_Stress,Friend_Stress
UGRD,Foreigner,Indonesia,2,F,School of Science,Residences,0,1,3,1,1,2,2,1,No,Yes,Yes,No,No,No
UGRD,Country Citizen,Singapore,1,F,School of Engineering,Out of Campus,0,1,2,3,1,2,2,2,No,Yes,Yes,No,No,No
UGRD,Foreigner,Malaysia,2,M,School of Science,Halls,3,1,1,5,2,2,2,3,No,No,Yes,No,No,No
UGRD,Foreigner,Malaysia,2,M,School of Engineering,Halls,3,4,3,3,7,1,1,4,Yes,Yes,Yes,No,Yes,Yes
UGRD,Foreigner,Viet Nam,3,F,School of Engineering,Out of Campus,4,3,4,5,4,2,2,5,Yes,No,Yes,Yes,No,Yes
UGRD,Country Citizen,Singapore,1,F,School of Science,Residential Colleges,2,2,3,2,2,3,3,6,Yes,No,Yes,No,No,Yes
UGRD,Country Citizen,Singapore,3,F,School of Business School,Out of Campus,1,2,4,3,3,2,2,7,Yes,No,Yes,Yes,No,No
UGRD,Foreigner,Indonesia,2,M,School of Computing,Halls,2,3,5,1,2,2,2,8,Yes,Yes,No,No,No,No
UGRD,Foreigner,Indonesia,3,M,School of Computing,Halls,0,2,3,1,5,2,1,9,Yes,Yes,Yes,No,No,Yes
UGRD,Foreigner,Malaysia,2,F,School of Science,Halls,2,1,3,2,5,2,2,10,No,No,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,2,F,School of Science,Out of Campus,0,3,3,2,4,2,2,11,Yes,No,Yes,Yes,Yes,No
UGRD,Foreigner,Malaysia,2,M,School of Science,Halls,5,2,4,4,4,2,3,12,No,Yes,Yes,No,No,No
UGRD,Foreigner,Malaysia,3,F,School of Engineering,Residential Colleges,2,2,4,4,6,2,2,13,Yes,No,Yes,Yes,No,Yes
UGRD,Foreigner,Hong Kong,4,F,School of Science,Out of Campus,2,1,1,2,5,1,2,14,Yes,No,Yes,Yes,Yes,No
UGRD,Foreigner,Malaysia,2,M,School of Engineering,Residences,1,1,1,1,1,3,3,15,No,No,No,No,No,No
GRAD,Foreigner,Indonesia,1,F,School of Law,Out of Campus,0,2,3,2,2,2,3,16,No,Yes,No,No,No,No
UGRD,Country Citizen,Singapore,3,M,School of Business School,Halls,3,2,2,4,4,2,2,17,No,Yes,Yes,Yes,No,No
UGRD,Foreigner,Indonesia,3,F,School of Engineering,Residences,1,2,3,2,3,1,2,18,No,Yes,No,No,No,Yes
UGRD,Foreigner,Viet Nam,4,M,School of Engineering,Halls,0,1,3,2,5,2,3,19,No,No,Yes,Yes,No,Yes
UGRD,Foreigner,Viet Nam,1,M,School of Engineering,Halls,1,0,2,2,2,2,2,20,No,No,No,Yes,No,No
UGRD,Foreigner,Viet Nam,2,F,School of Design & Environment,Halls,3,3,3,3,4,2,2,21,Yes,No,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,2,F,School of Arts & Social Science,Out of Campus,10,1,3,4,3,2,2,22,Yes,No,Yes,Yes,No,No
UGRD,Permanent Resident,Bangladesh,2,F,School of Science,Out of Campus,0,1,4,7,4,2,1,23,No,No,Yes,Yes,Yes,No
GRAD,Foreigner,India,1,F,School of Science,Halls,0,0,6,2,1,2,2,24,No,No,Yes,No,No,No
UGRD,Permanent Resident,Indonesia,1,F,School of Arts & Social Science,Residences,3,1,2,6,4,2,0,25,No,No,Yes,No,Yes,No
GRAD,Foreigner,India,3,F,School of Medicine1,Halls,0,0,5,8,3,2,2,26,No,No,Yes,Yes,No,No
UGRD,Foreigner,Malaysia,4,F,School of Science,Halls,3,3,4,3,4,2,2,27,Yes,Yes,Yes,Yes,No,No
GRAD,Foreigner,India,1,M,School of Systems Science,Out of Campus,0,0,3,2,3,2,2,28,No,No,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,2,F,School of Engineering,Out of Campus,3,2,3,3,4,2,2,29,Yes,Yes,Yes,Yes,Yes,No
GRAD,Foreigner,Myanmar,1,F,School of Business School,Halls,0,1,2,2,2,2,3,30,No,No,Yes,No,No,No
